Rock,TagID,TagID_Corrected,Initial Survey ID,Relocate Survey ID,Original Riffle,2023 Riffle,2024 Inventory,2024 Riffle,Tag Size (mm),A-axis (mm) Longest,B-axis (mm) Intermediate,C-axis (mm) Thickness,Gravelometer (mm),Weight (g),Particle Class,Size Class1,Size Class2,Comments
40,111730,230000111730,237,537,2,,X,0,32,120,114,65,128,1278,Cobble,SC2,SC,
98,111736,230000111736,105,405,1,,X,0,32,155,109,66,128,1789,Cobble,SC2,SC,
91,111737,230000111737,111,411,1,,X,0,32,169,138,82,128,2929,Cobble,SC2,SC,"used to be in riffle 1, now gravel aug"
114,111741,230000111741,125,425,1,,X,0,32,148,100,84,128,1958,Cobble,SC2,SC,
254,607501,228000607501,392,692,3,,X,0,23,78,52,34,64,212,Gravel,VCG2,VCG,
241,607502,228000607502,325,625,3,,X,0,23,118,54,52,64,615,Gravel,VCG2,VCG,
238,607510,228000607510,336,636,3,,X,0,23,82,65,40,64,401,Gravel,VCG2,VCG,
250,607515,228000607515,317,617,3,,X,0,23,61,57,54,64,362,Gravel,VCG2,VCG,
255,607536,228000607536,350,650,3,,X,0,23,70,68,51,64,373,Gravel,VCG2,VCG,
244,607551,228000607551,341,641,3,,X,0,23,92,72,43,64,477,Gravel,VCG2,VCG,
256,607556,228000607556,320,620,3,,X,0,23,51,49,46,64,159,Gravel,VCG2,VCG,
233,607559,228000607559,360,660,3,,X,0,23,63,54,45,64,235,Gravel,VCG2,VCG,
279,607562,228000607562,324,624,3,,X,0,23,74,50,36,45,173,Gravel,VCG1,VCG,
253,607566,228000607566,365,665,3,,X,0,23,79,41,35,45,159,Gravel,VCG1,VCG,
,,209000133124,-,-,NA,,X,0,23,61,53,25,45,110.5,Gravel,VCG1,VCG,
,,209000133128,-,-,NA,,X,0,23,65,41,25,45,73,Gravel,VCG1,VCG,
,,209000133163,-,-,NA,,X,0,23,61,56,41,64,218.5,Gravel,VCG2,VCG,
,,209000133171,-,-,NA,,X,0,23,46,44,24,45,55,Gravel,VCG1,VCG,
,,209000133200,-,-,NA,,X,0,23,56,45,32,64,174,Gravel,VCG2,VCG,
,,209000133207,-,-,NA,,X,0,23,120,69,56,90,768.5,Cobble,SC1,SC,
,,226001370239,-,-,NA,,X,0,12,46,33,19,45,76,Gravel,VCG1,VCG,
,,226001370255,-,-,NA,,X,0,12,29,19,14,16,8.435,Gravel,MG2,MG,
,,231000039719,-,-,NA,,X,0,14,57,39,19,45,74.5,Gravel,VCG1,VCG,
,,231000039721,-,-,NA,,X,0,14,44,35,18,45,57.5,Gravel,VCG1,VCG,
,,231000039742,-,-,NA,,X,0,14,36,36,26,45,84,Gravel,VCG1,VCG,
,,231000039772,-,-,NA,,X,0,14,42,34,21,45,80.5,Gravel,VCG1,VCG,
,,231000039778,-,-,NA,,X,0,14,54,33,22,45,61,Gravel,VCG1,VCG,
,,231000039780,-,-,NA,,X,0,14,47,38,18,45,61.5,Gravel,VCG1,VCG,
,,209000132718,-,-,NA,,new,0,23,210,149,100,180,3500,Cobble,LC1,LC,
,,209000132719,-,-,NA,,new,0,23,246,181,73,180,4900,Cobble,LC1,LC,
,,209000132794,-,-,NA,,new,0,23,129,126,110,180,3000,Cobble,LC1,LC,
,,209000132778,-,-,NA,,new,0,23,175,147,98,180,4500,Cobble,LC1,LC,
,,209000132724,-,-,NA,,new,0,23,214,160,80,180,4700,Cobble,LC1,LC,
,,209000132755,-,-,NA,,new,0,23,214,173,90,180,5000,Cobble,LC1,LC,
,,209000132772,-,-,NA,,new,0,23,186,132,87,128,3700,Cobble,SC2,SC,
,,209000132746,-,-,NA,,new,0,23,226,175,143,>256,"10,700",Boulder,SB1,SB,
,,209000132717,-,-,NA,,new,0,23,318,176,124,180,9300,Cobble,LC1,LC,
,,209000132788,-,-,NA,,new,0,23,212,185,97,180,3800,Cobble,LC1,LC,
,,226001370336,-,-,NA,,new,0,12,26,15,13,16,7,Gravel,MG2,MG,
,,226001370357,-,-,NA,,new,0,12,32,21,12,22.6,9.5,Gravel,CG1,CG,
,,226001370354,-,-,NA,,new,0,12,24,19,13,16,5,Gravel,MG2,MG,
,,226001370369,-,-,NA,,new,0,12,26,19,15,22.6,9,Gravel,CG1,CG,
,,226001370371,-,-,NA,,new,0,12,25,23,13,22.6,7,Gravel,CG1,CG,
,,226001370362,-,-,NA,,new,0,12,25,18,15,22.6,8,Gravel,CG1,CG,
,,226001370393,-,-,NA,,new,0,12,31,17,12,16,9.5,Gravel,MG2,MG,
,,226001370301,-,-,NA,,new,0,12,26,18,10,16,6,Gravel,MG2,MG,
,,226001370302,-,-,NA,,new,0,12,28,18,10,22.6,7.5,Gravel,CG1,CG,
,,226001370323,-,-,NA,,new,0,12,31,19,13,16,9,Gravel,MG2,MG,
,,226001370384,-,-,NA,,new,0,12,27,20,10,22.6,8,Gravel,CG1,CG,
,,226001370347,-,-,NA,,new,0,12,24,20,15,22.6,9,Gravel,CG1,CG,
,,226001370328,-,-,NA,,new,0,12,28,17,16,22.6,10,Gravel,CG1,CG,
,,226001370381,-,-,NA,,new,0,12,21,20,12,22.6,6.5,Gravel,CG1,CG,
,,209000132728,-,-,NA,,new,0,23,336,224,183,>256,26700,Boulder,SB1,SB,
,,209000132715,-,-,NA,,new,0,23,340,209,196,>256,27100,Boulder,SB1,SB,
,,209000132800,-,-,NA,,new,0,23,285,220,197,>256,24100,Boulder,SB1,SB,
,,226001370307,-,-,NA,,new,0,12,97,76,26,64,274.5,Gravel,VCG2,VCG,
,,226001370295,-,-,NA,,new,0,12,50,35,21,32,44,Gravel,CG2,CG,
,,226001370358,-,-,NA,,new,0,12,38,24,19,32,29,Gravel,CG2,CG,
,,226001370245,-,-,NA,,new,0,12,43,38,22,32,39,Gravel,CG2,CG,
,,226001370290,-,-,NA,,new,0,12,48,31,23,32,53.5,Gravel,CG2,CG,
,,226001370305,-,-,NA,,new,0,12,66,33,18,32,55.5,Gravel,CG2,CG,
,,226001370238,-,-,NA,,new,0,12,45,25,13,22.6,22.5,Gravel,CG1,CG,
,,226001370231,-,-,NA,,new,0,12,35,34,20,32,32.5,Gravel,CG2,CG,
,,226001370287,-,-,NA,,new,0,12,40,37,24,32,36,Gravel,CG2,CG,
,,226001370288,-,-,NA,,new,0,12,39,38,15,32,31.5,Gravel,CG2,CG,
,,226001370251,-,-,NA,,new,0,12,49,32,16,32,32.5,Gravel,CG2,CG,
,,226001370399,-,-,NA,,new,0,12,42,26,23,32,33.5,Gravel,CG2,CG,
,,226001370274,-,-,NA,,new,0,12,39,29,19,32,31,Gravel,CG2,CG,
,,226001370320,-,-,NA,,new,0,12,38,30,19,32,31,Gravel,CG2,CG,
,,226001370209,-,-,NA,,new,0,12,52,34,27,32,50.5,Gravel,CG2,CG,
,,226001370279,-,-,NA,,new,0,12,60,38,19,32,65.5,Gravel,CG2,CG,
297,111507,230000111507,154,454,1,1,Deployed,1,32,331,236,143,256,11400,Cobble,LC2,LC,
303,111510,230000111510,144,444,1,1,Deployed,1,32,460,230,125,256,17100,Cobble,LC2,LC,
180,111523,230000111523,127,427,1,1,Deployed,1,32,150,109,78,128,1992,Cobble,SC2,SC,
122,111527,230000111527,158,458,1,1,Deployed,1,32,139,76,75,90,1153,Cobble,SC1,SC,
115,111534,230000111534,122,422,1,1,Deployed,1,32,157,135,130,180,3638,Cobble,LC1,LC,
179,111540,230000111540,191,491,1,1,Deployed,1,32,119,82,59,90,734,Cobble,SC1,SC,
294,111541,230000111541,107,407,1,1,Deployed,1,32,356,290,138,>256,14100,Boulder,SB1,SB,
301,111541,230000111578,170,470,1,1,Deployed,1,32,374,275,144,>256,19700,Boulder,SB1,SB,
163,111545,230000111545,190,490,1,1,Deployed,1,32,121,71,58,90,829,Cobble,SC1,SC,
169,111548,230000111548,198,498,1,1,Deployed,1,32,90,76,52,90,530,Cobble,SC1,SC,
176,111551,230000111551,168,468,1,1,Deployed,1,32,189,103,71,128,1963,Cobble,SC2,SC,
135,111555,230000111555,171,471,1,1,Deployed,1,32,109,71,69,90,826,Cobble,SC1,SC,
129,111560,230000111560,156,456,1,1,Deployed,1,32,91,75,50,64,337,Gravel,VCG2,VCG,
172,111562,230000111562,184,484,1,1,Deployed,1,32,197,169,68,180,3575,Cobble,LC1,LC,
131,111566,230000111566,153,453,1,1,Deployed,1,32,134,115,43,128,1003,Cobble,SC2,SC,
177,111567,230000111567,176,476,1,1,Deployed,1,32,128,104,33,90,645,Cobble,SC1,SC,
95,111570,230000111570,162,462,1,1,Deployed,1,32,218,94,50,128,2142,Cobble,SC2,SC,
132,111575,230000111575,159,459,1,1,Deployed,1,32,135,96,53,90,1034,Cobble,SC1,SC,
175,111581,230000111581,180,480,1,1,Deployed,1,32,113,101,43,90,755,Cobble,SC1,SC,
168,111592,230000111592,166,466,1,1,Deployed,1,32,213,113,49,128,2412,Cobble,SC2,SC,
138,111594,230000111594,152,452,1,1,Deployed,1,32,135,67,55,90,911,Cobble,SC1,SC,
171,111596,230000111596,196,496,1,1,Deployed,1,32,86,73,64,90,548,Cobble,SC1,SC,
298,111614,230000111614,194,494,1,1,Deployed,1,32,306,205,256,256,18900,Cobble,LC2,LC,
90,111624,230000111624,102,402,1,1,Deployed,1,32,157,152,82,180,2584,Cobble,LC1,LC,
87,111631,230000111631,118,418,1,1,Deployed,1,32,97,56,50,64,363,Gravel,VCG2,VCG,
119,111643,230000111643,129,429,1,1,Deployed,1,32,184,125,58,128,2352,Cobble,SC2,SC,
85,111644,230000111644,114,414,1,1,Deployed,1,32,135,93,72,90,1442,Cobble,SC1,SC,
134,111648,230000111648,178,478,1,1,Deployed,1,32,101,88,34,90,508,Cobble,SC1,SC,
136,111668,230000111668,143,443,1,1,Deployed,1,32,177,112,67,128,1929,Cobble,SC2,SC,
83,111677,230000111677,101,401,1,1,Deployed,1,32,90,78,69,90,608,Cobble,SC1,SC,
96,111683,230000111683,110,410,1,1,Deployed,1,32,132,90,80,128,1427,Cobble,SC2,SC,
97,111684,230000111684,106,406,1,1,Deployed,1,32,198,117,64,128,2248,Cobble,SC2,SC,
140,111686,230000111686,149,449,1,1,Deployed,1,32,110,78,34,90,601,Cobble,SC1,SC,
86,111695,230000111695,116,416,1,1,Deployed,1,32,120,97,77,90,1034,Cobble,SC1,SC,
109,111698,230000111698,128,428,1,1,Deployed,1,32,89,82,70,90,771,Cobble,SC1,SC,
178,111700,230000111700,186,486,1,1,Deployed,1,32,131,82,56,90,709,Cobble,SC1,SC,
137,111708,230000111708,141,441,1,1,Deployed,1,32,181,124,84,128,2277,Cobble,SC2,SC,
88,111712,230000111712,121,421,1,1,Deployed,1,32,176,113,74,128,2062,Cobble,SC2,SC,
118,111716,230000111716,165,465,1,1,Deployed,1,32,129,116,60,128,1338,Cobble,SC2,SC,
127,111717,230000111717,155,455,1,1,Deployed,1,32,135,93,59,90,1398,Cobble,SC1,SC,
121,111728,230000111728,151,451,1,1,Deployed,1,32,165,123,75,180,2327,Cobble,LC1,LC,
302,111733,230000111733,133,433,1,1,Deployed,1,32,303,265,148,>256,15900,Boulder,SB1,SB,
120,111734,230000111734,131,431,1,1,Deployed,1,32,120,104,64,128,1233,Cobble,SC2,SC,
126,111735,230000111735,148,448,1,1,Deployed,1,32,141,117,56,128,1706,Cobble,SC2,SC,
82,111746,230000111746,172,472,1,1,Deployed,1,32,111,68,59,90,775,Cobble,SC1,SC,
222,607505,228000607505,109,409,1,1,Deployed,1,23,94,61,41,64,336,Gravel,VCG2,VCG,
252,607507,228000607507,181,481,1,1,Deployed,1,23,65,45,42,64,197,Gravel,VCG2,VCG,
225,607509,228000607509,150,450,1,1,Deployed,1,23,106,64,36,64,440,Gravel,VCG2,VCG,
229,607513,228000607513,113,413,1,1,Deployed,1,23,91,60,38,64,273,Gravel,VCG2,VCG,
266,607516,228000607516,145,445,1,1,Deployed,1,23,81,63,55,64,514,Gravel,VCG2,VCG,
242,607517,228000607517,179,479,1,1,Deployed,1,23,68,56,43,64,241,Gravel,VCG2,VCG,
273,607520,228000607520,123,423,1,1,Deployed,1,23,90,64,52,64,543,Gravel,VCG2,VCG,
232,607524,228000607524,142,442,1,1,Deployed,1,23,86,68,54,64,562,Gravel,VCG2,VCG,
245,607532,228000607532,117,417,1,1,Deployed,1,23,90,55,42,64,446,Gravel,VCG2,VCG,
239,607533,228000607533,120,420,1,1,Deployed,1,23,89,65,52,64,400,Gravel,VCG2,VCG,
261,607534,228000607534,108,408,1,1,Deployed,1,23,70,63,55,64,654,Gravel,VCG2,VCG,
224,607535,228000607535,189,489,1,1,Deployed,1,23,74,54,36,64,254,Gravel,VCG2,VCG,
243,607537,228000607537,130,430,1,1,Deployed,1,23,95,61,35,64,458,Gravel,VCG2,VCG,
228,607541,228000607541,139,439,1,1,Deployed,1,23,91,64,40,64,398,Gravel,VCG2,VCG,
231,607546,228000607546,126,426,1,1,Deployed,1,23,97,71,35,64,338,Gravel,VCG2,VCG,
269,607549,228000607549,160,460,1,1,Deployed,1,23,72,50,38,64,185,Gravel,VCG2,VCG,
227,607552,228000607552,185,485,1,1,Deployed,1,23,75,64,54,64,543,Gravel,VCG2,VCG,
283,607560,228000607560,177,477,1,1,Deployed,1,23,82,64,37,64,407,Gravel,VCG2,VCG,
259,607565,228000607565,167,467,1,1,Deployed,1,23,94,58,56,64,433,Gravel,VCG2,VCG,
234,607571,228000607571,199,499,1,1,Deployed,1,23,127,71,31,64,415,Gravel,VCG2,VCG,
237,607573,228000607573,103,403,1,1,Deployed,1,23,102,61,48,64,550,Gravel,VCG2,VCG,
249,607577,228000607577,163,463,1,1,Deployed,1,23,94,66,23,64,361,Gravel,VCG2,VCG,
,,226001370206,-,-,NA,1,Deployed,1,12,35,27,20,32,49,Gravel,CG2,CG,
,,226001370212,-,-,NA,1,Deployed,1,12,25,15,10,16,4.675,Gravel,MG2,MG,
,,226001370215,-,-,NA,1,Deployed,1,12,23,12,8,16,2.755,Gravel,MG2,MG,
,,226001370219,-,-,NA,1,Deployed,1,12,34,22,19,32,41.5,Gravel,CG2,CG,
,,226001370228,-,-,NA,1,Deployed,1,12,21,15,14,16,5.62,Gravel,MG2,MG,
,,226001370232,-,-,NA,1,Deployed,1,12,40,34,17,32,52,Gravel,CG2,CG,
,,226001370235,-,-,NA,1,Deployed,1,12,19,17,10,16,4.171,Gravel,MG2,MG,
,,226001370237,-,-,NA,1,Deployed,1,12,31,27,15,32,36.5,Gravel,CG2,CG,
,,226001370243,-,-,NA,1,Deployed,1,12,20,18,11,16,4.967,Gravel,MG2,MG,
,,226001370244,-,-,NA,1,Deployed,1,12,17,15,9,16,3.148,Gravel,MG2,MG,
,,226001370256,-,-,NA,1,Deployed,1,12,20,17,7,16,2.964,Gravel,MG2,MG,
,,226001370264,-,-,NA,1,Deployed,1,12,30,23,12,32,28.5,Gravel,CG2,CG,
,,226001370277,-,-,NA,1,Deployed,1,12,23,15,13,16,6.062,Gravel,MG2,MG,
,,226001370281,-,-,NA,1,Deployed,1,12,21,16,11,16,4.302,Gravel,MG2,MG,
,,226001370292,-,-,NA,1,Deployed,1,12,20,18,11,16,4.728,Gravel,MG2,MG,
,,226001370318,-,-,NA,1,Deployed,1,12,28,16,8,16,6.618,Gravel,MG2,MG,
,,226001370337,-,-,NA,1,Deployed,1,12,24,17,8,16,5.73,Gravel,MG2,MG,
,,226001370342,-,-,NA,1,Deployed,1,12,29,17,10,16,7.81,Gravel,MG2,MG,
,,226001370356,-,-,NA,1,Deployed,1,12,36,17,8,16,6.624,Gravel,MG2,MG,
,,226001370376,-,-,NA,1,Deployed,1,12,25,17,7,16,5.594,Gravel,MG2,MG,
,,230000111725,-,-,NA,1,Deployed,1,32,312,245,140,256,18500,Cobble,LC2,LC,
,,230000298011,-,-,NA,1,Deployed,1,32,235,210,63,256,7400,Cobble,LC2,LC,
,,230000298013,-,-,NA,1,Deployed,1,32,225,170,104,256,9100,Cobble,LC2,LC,
,,231000039702,-,-,NA,1,Deployed,1,14,42,38,25,32,42,Gravel,CG2,CG,
,,231000039711,-,-,NA,1,Deployed,1,14,38,34,22,32,44,Gravel,CG2,CG,
,,231000039714,-,-,NA,1,Deployed,1,14,55,24,20,32,52.5,Gravel,CG2,CG,
,,231000039720,-,-,NA,1,Deployed,1,14,88,39,14,32,82,Gravel,CG2,CG,
,,231000039733,-,-,NA,1,Deployed,1,14,47,37,20,32,50,Gravel,CG2,CG,
,,231000039735,-,-,NA,1,Deployed,1,14,61,31,28,32,87.5,Gravel,CG2,CG,
,,231000039738,-,-,NA,1,Deployed,1,14,45,34,23,32,53.5,Gravel,CG2,CG,
,,231000039758,-,-,NA,1,Deployed,1,14,40,33,18,32,40.5,Gravel,CG2,CG,
,,231000039765,-,-,NA,1,Deployed,1,14,46,30,22,32,44,Gravel,CG2,CG,
,,231000039781,-,-,NA,1,Deployed,1,14,52,28,24,32,57.5,Gravel,CG2,CG,
192,111547,230000111547,212,512,2,2A,Deployed,2A,32,168,111,53,90,1488,Cobble,SC1,SC,
67,111583,230000111583,218,518,2,2A,Deployed,2A,32,85,61,55,90,493,Cobble,SC1,SC,
34,111586,230000111586,254,554,2,2A,Deployed,2A,32,135,97,68,128,1766,Cobble,SC2,SC,
292,111587,230000111587,264,564,2,2A,Deployed,2A,32,320,235,105,256,11600,Cobble,LC2,LC,
71,111599,230000111599,226,526,2,2A,Deployed,2A,32,135,120,75,128,1877,Cobble,SC2,SC,
102,111602,230000111602,275,575,2,2A,Deployed,2A,32,178,155,48,180,2087,Cobble,LC1,LC,
39,111603,230000111603,266,566,2,2A,Deployed,2A,32,181,125,100,128,3827,Cobble,SC2,SC,
15,111605,230000111605,286,586,2,2A,Deployed,2A,32,140,121,59,128,1380,Cobble,SC2,SC,
26,111621,230000111621,236,536,2,2A,Deployed,2A,32,118,79,65,90,1151,Cobble,SC1,SC,
37,111629,230000111629,244,544,2,2A,Deployed,2A,32,155,132,54,128,1834,Cobble,SC2,SC,
288,111634,230000111634,261,561,2,2A,Deployed,2A,32,367,215,128,256,16700,Cobble,LC2,LC,
107,111645,230000111645,276,576,2,2A,Deployed,2A,32,134,101,91,128,2037,Cobble,SC2,SC,
48,111657,230000111657,211,511,2,2A,Deployed,2A,32,100,72,42,64,379,Gravel,VCG2,VCG,
72,111658,230000111658,247,547,2,2A,Deployed,2A,32,90,83,56,90,732,Cobble,SC1,SC,
66,111660,230000111660,274,574,2,2A,Deployed,2A,32,112,87,57,90,727,Cobble,SC1,SC,
29,111671,230000111671,239,539,2,2A,Deployed,2A,32,110,93,42,90,657,Cobble,SC1,SC,
73,111694,230000111694,287,587,2,2A,Deployed,2A,32,150,109,88,128,1738,Cobble,SC2,SC,
47,111704,230000111704,209,509,2,2A,Deployed,2A,32,95,73,41,64,416,Gravel,VCG2,VCG,
101,111709,230000111709,285,585,2,2A,Deployed,2A,32,201,182,58,180,3584,Cobble,LC1,LC,
25,111718,230000111718,248,548,2,2A,Deployed,2A,32,85,72,57,90,509,Cobble,SC1,SC,
68,111719,230000111719,263,563,2,2A,Deployed,2A,32,165,110,61,128,1712,Cobble,SC2,SC,
290,111729,230000111729,281,581,2,2A,Deployed,2A,32,346,280,115,>256,21300,Boulder,SB1,SB,
78,111732,230000111732,228,528,2,2A,Deployed,2A,32,210,158,107,180,3929,Cobble,LC1,LC,
76,111738,230000111738,259,559,2,2A,Deployed,2A,32,140,110,77,128,1999,Cobble,SC2,SC,
271,607506,228000607506,234,534,2,2A,Deployed,2A,23,87,72,35,64,423,Gravel,VCG2,VCG,
257,607528,228000607528,230,530,2,2A,Deployed,2A,23,84,69,41,64,409,Gravel,VCG2,VCG,
274,607538,228000607538,267,567,2,2A,Deployed,2A,23,74,53,22,64,257,Gravel,VCG2,VCG,
275,607539,228000607539,284,584,2,2A,Deployed,2A,23,110,63,31,64,372,Gravel,VCG2,VCG,
280,607547,228000607547,277,577,2,2A,Deployed,2A,23,80,70,43,64,370,Gravel,VCG2,VCG,
251,607558,228000607558,296,596,2,2A,Deployed,2A,23,88,73,38,64,444,Gravel,VCG2,VCG,
264,607561,228000607561,255,555,2,2A,Deployed,2A,23,106,53,49,64,350,Gravel,VCG2,VCG,
284,607564,228000607564,245,545,2,2A,Deployed,2A,23,108,64,45,64,477,Gravel,VCG2,VCG,
258,607569,228000607569,295,595,2,2A,Deployed,2A,23,99,78,44,64,493,Gravel,VCG2,VCG,
223,607576,228000607576,206,506,2,2A,Deployed,2A,23,104,64,43,64,599,Gravel,VCG2,VCG,
,,226001370210,-,-,NA,2A,Deployed,2A,12,21,15,15,16,5.473,Gravel,MG2,MG,
,,226001370218,-,-,NA,2A,Deployed,2A,12,34,12,12,16,5.414,Gravel,MG2,MG,
,,226001370257,-,-,NA,2A,Deployed,2A,12,26,20,9,16,4.179,Gravel,MG2,MG,
,,226001370271,-,-,NA,2A,Deployed,2A,12,24,14,13,16,4.896,Gravel,MG2,MG,
,,226001370272,-,-,NA,2A,Deployed,2A,12,40,24,19,32,71.5,Gravel,CG2,CG,
,,226001370280,-,-,NA,2A,Deployed,2A,12,41,24,20,32,52,Gravel,CG2,CG,
,,226001370285,-,-,NA,2A,Deployed,2A,12,31,16,14,16,9.238,Gravel,MG2,MG,
,,226001370298,-,-,NA,2A,Deployed,2A,12,18,17,10,16,4.49,Gravel,MG2,MG,
,,226001370321,-,-,NA,2A,Deployed,2A,12,25,12,7,16,3.958,Gravel,MG2,MG,
,,230000111515,-,-,NA,2A,Deployed,2A,32,395,265,205,362,27100,Boulder,SB1,SB,
,,231000039715,-,-,NA,2A,Deployed,2A,14,61,31,17,32,42,Gravel,CG2,CG,
,,231000039731,-,-,NA,2A,Deployed,2A,14,55,30,21,32,87.5,Gravel,CG2,CG,
,,231000039734,-,-,NA,2A,Deployed,2A,14,59,31,30,32,66,Gravel,CG2,CG,
,,231000039756,-,-,NA,2A,Deployed,2A,14,51,31,27,32,59,Gravel,CG2,CG,
,,231000039774,-,-,NA,2A,Deployed,2A,14,45,32,20,32,43.5,Gravel,CG2,CG,
,,231000039788,-,-,NA,2A,Deployed,2A,14,51,36,18,32,65,Gravel,CG2,CG,
18,111504,230000111504,279,579,2,2B,Deployed,2B,32,166,128,81,128,2127,Cobble,SC2,SC,
289,111508,230000111508,217,517,2,2B,Deployed,2B,32,256,214,190,256,16900,Cobble,LC2,LC,
295,111522,230000111522,238,538,2,2B,Deployed,2B,32,295,250,174,256,16100,Cobble,LC2,LC,
106,111568,230000111568,291,591,2,2B,Deployed,2B,32,133,87,49,90,784,Cobble,SC1,SC,
56,111572,230000111572,280,580,2,2B,Deployed,2B,32,162,104,67,128,1710,Cobble,SC2,SC,
21,111584,230000111584,251,551,2,2B,Deployed,2B,32,145,141,67,128,2105,Cobble,SC2,SC,
116,111604,230000111604,289,589,2,2B,Deployed,2B,32,195,62,56,90,1437,Cobble,SC1,SC,
64,111606,230000111606,246,546,2,2B,Deployed,2B,32,147,108,64,128,1636,Cobble,SC2,SC,
63,111638,230000111638,241,541,2,2B,Deployed,2B,32,165,133,106,128,3239,Cobble,SC2,SC,
50,111646,230000111646,203,503,2,2B,Deployed,2B,32,93,77,55,90,508,Cobble,SC1,SC,
38,111664,230000111664,268,568,2,2B,Deployed,2B,32,116,88,67,90,904,Cobble,SC1,SC,
304,111666,230000111666,210,510,2,2B,Deployed,2B,32,321,290,200,>256,18300,Boulder,SB1,SB,
36,111669,230000111669,257,557,2,2B,Deployed,2B,32,151,137,65,128,2083,Cobble,SC2,SC,
52,111673,230000111673,221,521,2,2B,Deployed,2B,32,139,96,75,128,1437,Cobble,SC2,SC,
30,111675,230000111675,229,529,2,2B,Deployed,2B,32,98,89,68,90,939,Cobble,SC1,SC,
55,111681,230000111681,205,505,2,2B,Deployed,2B,32,100,65,55,90,572,Cobble,SC1,SC,
61,111696,230000111696,232,532,2,2B,Deployed,2B,32,103,89,59,90,759,Cobble,SC1,SC,
77,111703,230000111703,213,513,2,2B,Deployed,2B,32,114,85,37,90,604,Cobble,SC1,SC,
22,111705,230000111705,253,553,2,2B,Deployed,2B,32,160,84,69,90,1747,Cobble,SC1,SC,
58,111723,230000111723,208,508,2,2B,Deployed,2B,32,146,89,36,90,807,Cobble,SC1,SC,
270,607504,228000607504,297,597,2,2B,Deployed,2B,23,77,65,40,64,362,Gravel,VCG2,VCG,
263,607511,228000607511,273,573,2,2B,Deployed,2B,23,120,75,50,64,466,Gravel,VCG2,VCG,
226,607514,228000607514,288,588,2,2B,Deployed,2B,23,139,64,54,64,813,Gravel,VCG2,VCG,
268,607526,228000607526,250,550,2,2B,Deployed,2B,23,117,74,43,64,561,Gravel,VCG2,VCG,
